<Phenotype>,Days.Flowering,Days.Maturity,Lodging,Chl.B,Total.Chl,Carotenoids,Yield
Aztec,45.33333333,84.33333333,5.666666667,16.27340826,37.38586289,3.697549774,1048.751872
B05055,47.5,100,2,10.8361595,32.87511556,5.180292365,1125.706033
Baja,46.5,89.16666667,5.666666667,15.26326561,37.06915465,4.007501643,1105.797657
Bandit,48.16666667,102.3333333,3.333333333,10.95746993,34.39447568,6.133692736,1154.320336
Bat_477,47.5,92.5,7.658471279,10.53079982,31.50980618,4.955521973,1002.255855
Beldakmi_Rr_5,45.16666667,85.83333333,2.833333333,14.54871251,35.6763366,3.891438156,931.9333548
Belmineb_5,44.66666667,91.83333333,3.833333333,12.24287801,33.55632252,4.276911174,744.7180139
Belmineb_Rmr_3,46.83333333,96.83333333,6,13.60467584,36.39005465,4.30593287,685.3010035
Belmineb_Rmr_4,46.83333333,89.33333333,4,14.02823884,35.230694,3.731681865,620.5583012
Belmineb_Rmr_7,47,89.16666667,5.5,15.38704592,38.28802969,3.667925206,849.7864612
Belmineb_Rmr_8,47.33333333,91,4.833333333,11.170115,32.04451339,4.467883022,969.6044608
Belmineb_Rr_2,47.60128317,93.59139955,7.570753454,12.17008494,34.39407338,4.649869622,725.4403987
Belneb_2,46.16666667,103.3333333,10,18.78974944,42.76902259,3.951434876,556.6843311
Beryl,47.5,105.1666667,6.666666667,14.24709422,36.42083322,4.664430508,1003.041453
Berylr,43.26794984,100.1666667,5.833333333,12.4386457,36.09140092,5.221181518,755.6353765
